KEPH,Facility_category,Owner,County,whole_day,public_holidays,weekends,late_night
Level 4,HOSPITALS,Private Practice,Meru,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Uasin Gishu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Embu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,Yes,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Migori,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Bomet,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Bomet,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bomet,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Kilifi,Yes,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kakamega,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Siaya,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Siaya,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Tharaka Nithi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Kilifi,Yes,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kilifi,Yes,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,Yes,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Uasin Gishu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Uasin Gishu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kericho,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nyandarua,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyandarua,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Bomet,Yes,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Kiambu,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Laikipia,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Tharaka Nithi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Tharaka Nithi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Embu,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Tharaka Nithi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Homa Bay,No,No,No,Yes
Level 2,MEDICAL CLINIC,Private Practice,Laikipia,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Homa Bay,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Wajir,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Machakos,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Trans Nzoia,No,Yes,Yes,No
Level 2,STAND ALONE,Private Practice,Machakos,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,No,Yes,Yes,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Kakamega,Yes,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Siaya,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Siaya,No,Yes,Yes,No
Level 2,DISPENSARY,Ministry of Health,Garissa,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Garissa,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Busia,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Nandi,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kitui,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kisumu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kisumu,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,Yes,Yes,Yes,Yes
Level 4,HOSPITALS,Private Practice,Machakos,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kilifi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kakamega,No,Yes,Yes,No
Level 2,DISPENSARY,Ministry of Health,Bungoma,No,No,No,No
Level 3,NURSING HOME,Private Practice,Migori,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Wajir,Yes,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kakamega,Yes,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Siaya,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Uasin Gishu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,No,Yes,Yes,No
Level 2,DISPENSARY,Ministry of Health,Baringo,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kitui,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kwale,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,No,Yes,No
Level 4,HOSPITALS,Private Practice,Nakuru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Garissa,No,Yes,Yes,No
Level 2,DISPENSARY,Ministry of Health,West Pokot,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Kiambu,No,Yes,Yes,Yes
Level 2,DISPENSARY,Faith Based Organization,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Uasin Gishu,No,No,No,No
Level 4,HOSPITALS,Private Practice,Nairobi,No,Yes,Yes,No
Level 2,DISPENSARY,Ministry of Health,Uasin Gishu,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Trans Nzoia,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nakuru,No,No,No,No
Level 3,HEALTH CENTRE,Non-Governmental Organizations,Kwale,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyandarua,Yes,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Taita Taveta,No,No,No,No
Level 2,STAND ALONE,Private Practice,Trans Nzoia,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kwale,No,Yes,Yes,No
Level 4,HOSPITALS,Private Practice,Kiambu,Yes,Yes,Yes,Yes
Level 4,HOSPITALS,Private Practice,Kisumu,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Busia,No,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Kisumu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Nakuru,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kajiado,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kisumu,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,Yes,Yes,No
Level 2,DISPENSARY,Ministry of Health,Turkana,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nandi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nandi,No,No,No,No
Level 3,MEDICAL CLINIC,Private Practice,Embu,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Migori,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Marsabit,No,No,No,No
Level 4,HOSPITALS,Private Practice,Kirinyaga,No,No,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Kirinyaga,No,No,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,Yes,Yes,No
Level 4,HOSPITALS,Private Practice,Garissa,No,No,No,Yes
Level 2,MEDICAL CLINIC,Private Practice,Siaya,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Trans Nzoia,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Baringo,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Baringo,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Baringo,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kakamega,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Bungoma,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Migori,Yes,Yes,Yes,Yes
Level 2,None,Non-Governmental Organizations,Busia,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Siaya,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Mandera,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Garissa,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kisii,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Garissa,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Embu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kakamega,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,Yes,No,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Bungoma,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Wajir,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Wajir,Yes,Yes,Yes,Yes
Level 2,STAND ALONE,Private Practice,Nakuru,No,No,No,No
Level 4,HOSPITALS,Private Practice,Kajiado,No,No,No,No
Level 2,STAND ALONE,Non-Governmental Organizations,Nairobi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Garissa,Yes,Yes,Yes,Yes
Level 4,HOSPITALS,Private Practice,Nairobi,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,Yes,No
Level 3,NURSING HOME,Private Practice,Nairobi,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Wajir,Yes,Yes,Yes,Yes
Level 4,HOSPITALS,Private Practice,Kisii,Yes,No,Yes,No
Level 3,HEALTH CENTRE,Private Practice,Mandera,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nandi,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,No,No,No,Yes
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Marsabit,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Baringo,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Elgeyo Marakwet,No,No,No,No
Level 2,STAND ALONE,Non-Governmental Organizations,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nandi,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Makueni,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Makueni,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Bungoma,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Bungoma,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bungoma,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Garissa,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Garissa,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Bungoma,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Turkana,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bungoma,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bungoma,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Garissa,No,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Mandera,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Nakuru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nakuru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kilifi,Yes,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Siaya,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,Yes,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Homa Bay,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Nairobi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Homa Bay,No,No,No,No
Level 3,NURSING HOME,Private Practice,Nairobi,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Siaya,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Homa Bay,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,Yes,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Homa Bay,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,Yes,Yes,Yes,Yes
Level 3,HEALTH CENTRE,Ministry of Health,Homa Bay,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Uasin Gishu,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Uasin Gishu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Siaya,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Siaya,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Siaya,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Uasin Gishu,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Uasin Gishu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Homa Bay,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nandi,No,Yes,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Kisumu,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Wajir,Yes,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Uasin Gishu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Laikipia,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Marsabit,No,Yes,Yes,Yes
Level 4,HOSPITALS,Private Practice,Nairobi,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Homa Bay,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Mandera,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Turkana,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Turkana,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Samburu,No,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Mandera,Yes,Yes,Yes,Yes
Level 3,HEALTH CENTRE,Non-Governmental Organizations,Nairobi,No,Yes,Yes,No
Level 2,DISPENSARY,Ministry of Health,Nyandarua,Yes,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Marsabit,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Makueni,No,No,No,Yes
Level 2,DISPENSARY,Faith Based Organization,Kwale,No,No,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Kwale,Yes,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,Yes,No
Level 4,HOSPITALS,Faith Based Organization,Nairobi,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Machakos,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Machakos,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Busia,No,No,No,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Taita Taveta,No,Yes,Yes,No
Level 2,DISPENSARY,Ministry of Health,Tharaka Nithi,No,No,No,No
Level 4,HOSPITALS,Private Practice,Kiambu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,Yes,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Kirinyaga,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Garissa,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Nairobi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Siaya,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kajiado,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Makueni,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Kiambu,No,No,No,Yes
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Machakos,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Tharaka Nithi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kwale,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kakamega,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kakamega,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,Yes,Yes,Yes,Yes
Level 4,HOSPITALS,Private Practice,Makueni,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Tharaka Nithi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Tharaka Nithi,No,No,No,No
Level 3,NURSING HOME,Private Practice,Nairobi,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,Yes,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Tana River,Yes,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Marsabit,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Makueni,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Samburu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Makueni,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Makueni,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Uasin Gishu,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Bomet,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,Yes,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Embu,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Embu,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Embu,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Tana River,Yes,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kisumu,No,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Kwale,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kwale,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Tana River,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Tana River,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Tana River,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Tana River,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyandarua,Yes,No,No,Yes
Level 2,DISPENSARY,Ministry of Health,Nakuru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Nakuru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Tana River,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kwale,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kwale,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Taita Taveta,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Taita Taveta,No,Yes,Yes,No
Level 3,HEALTH CENTRE,Private Practice,Mandera,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kakamega,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kajiado,No,No,No,Yes
Level 4,HOSPITALS,Private Practice,Mombasa,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kericho,No,No,No,Yes
Level 2,MEDICAL CLINIC,Private Practice,Mandera,No,No,No,Yes
Level 4,HOSPITALS,Private Practice,Kiambu,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Private Practice,Homa Bay,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Wajir,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Baringo,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Baringo,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Trans Nzoia,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,No,No,No,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kitui,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Bungoma,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Laikipia,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Migori,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nandi,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kirinyaga,No,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Mombasa,No,No,Yes,No
Level 3,HEALTH CENTRE,Private Practice,Mandera,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Meru,Yes,Yes,Yes,Yes
